区块ID,访问频率_次每秒,K值
337,1.0,20
338,54.0,20
339,14.0,20
340,5.0,20
341,5.0,20
342,2.0,20
343,51.0,20
344,5.0,20
345,6.0,20
346,11.0,20
347,1.0,20
348,2.0,20
349,6.0,20
350,10.0,20
351,69.0,20
352,1.0,20
353,4.0,20
354,14.0,20
355,4.0,20
356,36.0,20
357,2.0,20
358,9.0,20
359,6.0,20
360,59.0,20
361,6.0,20
362,12.0,20
363,10.0,20
364,16.0,20
365,4.0,20
366,30.0,20
367,1.0,20
368,169.0,19
369,2.0,20
370,7.0,20
371,11.0,20
372,50.0,20
373,46.0,20
374,40.0,20
375,4.0,20
376,32.0,20
377,30.0,20
378,30.0,20
379,2.0,20
380,8.0,20
381,17.0,20
382,18.0,20
383,3.0,20
384,38.0,20
385,8.0,20
386,4.0,20
387,14.0,20
388,30.0,20
389,19.0,20
390,93.0,20
391,9.0,20
392,7.0,20
393,11.0,20
394,3.0,20
395,21.0,20
396,7.0,20
397,2.0,20
398,8.0,20
399,11.0,20
400,3.0,20
401,35.0,20
402,20.0,20
403,3.0,20
404,36.0,20
405,10.0,20
406,19.0,20
407,50.0,20
408,2.0,20
409,18.0,20
410,2.0,20
411,6.0,20
412,2.0,20
413,12.0,20
414,1.0,20
415,11.0,20
416,4.0,20
417,96.0,20
418,3.0,20
419,1.0,20
420,28.0,20
421,54.0,20
422,9.0,20
423,78.0,20
424,92.0,20
425,2.0,20
426,68.0,20
427,22.0,20
428,6.0,20
429,4.0,20
430,4.0,20
431,296.0,18
432,53.0,20
433,12.0,20
434,7.0,20
435,16.0,20
436,12.0,20
437,56.0,20
438,2.0,20
439,29.0,20
440,14.0,20
441,8.0,20
442,11.0,20
443,20.0,20
444,28.0,20
445,9.0,20
446,9.0,20
447,26.0,20
448,2.0,20
449,13.0,20
450,26.0,20
451,1.0,20
452,2.0,20
453,21.0,20
454,3.0,20
455,14.0,20
456,19.0,20
457,5.0,20
458,19.0,20
459,3.0,20
460,2.0,20
461,84.0,20
462,8.0,20
463,18.0,20
464,16.0,20
465,28.0,20
466,63.0,20
467,2.0,20
468,1.0,20
469,6.0,20
470,248.0,19
471,89.0,20
472,12.0,20
473,2.0,20
474,10.0,20
475,23.0,20
476,7.0,20
477,3.0,20
478,71.0,20
479,11.0,20
480,5.0,20
481,5.0,20
482,30.0,20
483,5.0,20
484,7.0,20
485,17.0,20
486,7.0,20
487,8.0,20
488,10.0,20
489,45.0,20
490,2.0,20
491,14.0,20
492,27.0,20
493,12.0,20
494,23.0,20
495,6.0,20
496,8.0,20
497,21.0,20
498,11.0,20
499,27.0,20
500,79.0,20
501,70.0,20
502,5.0,20
503,16.0,20
504,50.0,20
505,16.0,20
506,34.0,20
507,10.0,20
508,283.0,18
509,6.0,20
510,37.0,20
511,47.0,20
512,6.0,20
513,11.0,20
514,79.0,20
515,4.0,20
516,27.0,20
517,13.0,20
518,186.0,19
519,4.0,20
520,13.0,20
521,12.0,20
522,2.0,20
523,1.0,20
524,13.0,20
525,22.0,20
526,6.0,20
527,22.0,20
528,10.0,20
529,5.0,20
530,6.0,20
531,17.0,20
532,44.0,20
533,29.0,20
534,16.0,20
535,5.0,20
536,13.0,20
537,2.0,20
538,1.0,20
539,21.0,20
540,1.0,20
541,149.0,19
542,9.0,20
543,5.0,20
544,5.0,20
545,10.0,20
546,8.0,20
547,3.0,20
548,9.0,20
549,25.0,20
550,27.0,20
551,16.0,20
552,9.0,20
553,2.0,20
554,3.0,20
555,2.0,20
556,34.0,20
557,3.0,20
558,24.0,20
559,17.0,20
560,5.0,20
561,52.0,20
562,21.0,20
563,2.0,20
564,14.0,20
565,10.0,20
566,2.0,20
567,8.0,20
568,31.0,20
569,14.0,20
570,3.0,20
571,12.0,20
572,16.0,20
573,3.0,20
574,4.0,20
575,16.0,20
576,2.0,20
577,52.0,20
578,9.0,20
579,103.0,20
580,2.0,20
581,9.0,20
582,12.0,20
583,16.0,20
584,19.0,20
585,4.0,20
586,14.0,20
587,1.0,20
588,6.0,20
589,6.0,20
590,41.0,20
591,26.0,20
592,29.0,20
593,11.0,20
594,22.0,20
595,3.0,20
596,3.0,20
597,17.0,20
598,61.0,20
599,11.0,20
600,3.0,20
601,140.0,20
602,2.0,20
603,7.0,20
604,277.0,18
605,1.0,20
606,16.0,20
607,10.0,20
608,3.0,20
609,67.0,20
610,19.0,20
611,7.0,20
612,10.0,20
613,2.0,20
614,4.0,20
615,16.0,20
616,6.0,20
617,20.0,20
618,2.0,20
619,8.0,20
620,3.0,20
621,16.0,20
622,7.0,20
623,15.0,20
624,8.0,20
625,7.0,20
626,5.0,20
627,5.0,20
628,7.0,20
629,64.0,20
630,7.0,20
631,16.0,20
632,21.0,20
633,2.0,20
634,5.0,20
635,12.0,20
636,4.0,20
637,7.0,20
638,22.0,20
639,36.0,20
640,5.0,20
641,6.0,20
642,2.0,20
643,52.0,20
644,4.0,20
645,4.0,20
646,9.0,20
647,39.0,20
648,10.0,20
649,2.0,20
650,31.0,20
651,37.0,20
652,14.0,20
653,35.0,20
654,3.0,20
655,18.0,20
656,14.0,20
657,10.0,20
658,20.0,20
659,16.0,20
660,3.0,20
661,2.0,20
662,18.0,20
663,13.0,20
664,5.0,20
665,10.0,20
666,76.0,20
667,22.0,20
668,7.0,20
669,11.0,20
670,19.0,20
671,6.0,20
672,14.0,20
673,8.0,20
674,21.0,20
675,25.0,20
676,36.0,20
677,5.0,20
678,4.0,20
679,10.0,20
680,7.0,20
681,106.0,20
682,4.0,20
683,5.0,20
684,5.0,20
685,9.0,20
686,8.0,20
687,27.0,20
688,36.0,20
689,3.0,20
690,18.0,20
691,4.0,20
692,9.0,20
693,63.0,20
694,5.0,20
695,1.0,20
696,17.0,20
697,4.0,20
698,42.0,20
699,75.0,20
700,3.0,20
701,45.0,20
702,12.0,20
703,82.0,20
704,4.0,20
705,32.0,20
706,20.0,20
707,33.0,20
708,33.0,20
709,10.0,20
710,106.0,20
711,163.0,19
712,2.0,20
713,12.0,20
714,24.0,20
715,24.0,20
716,13.0,20
717,14.0,20
718,6.0,20
719,33.0,20
720,14.0,20
721,46.0,20
722,26.0,20
723,1.0,20
724,7.0,20
725,3.0,20
726,2.0,20
727,46.0,20
728,23.0,20
729,55.0,20
730,18.0,20
731,6.0,20
732,3.0,20
733,4.0,20
734,6.0,20
735,41.0,20
736,3.0,20
737,8.0,20
738,4.0,20
739,6.0,20
740,3.0,20
741,7.0,20
742,2.0,20
743,19.0,20
744,8.0,20
745,1.0,20
746,2.0,20
747,41.0,20
748,3.0,20
749,5.0,20
750,3.0,20
751,2.0,20
752,4.0,20
753,23.0,20
754,31.0,20
755,22.0,20
756,15.0,20
757,8.0,20
758,30.0,20
759,1.0,20
760,2.0,20
761,12.0,20
762,3.0,20
763,27.0,20
764,21.0,20
765,2.0,20
766,66.0,20
767,7.0,20
768,3.0,20
769,37.0,20
770,81.0,20
771,9.0,20
772,4.0,20
773,15.0,20
774,33.0,20
775,49.0,20
776,10.0,20
777,3.0,20
778,4.0,20
779,5.0,20
780,8.0,20
781,2.0,20
782,3.0,20
783,60.0,20
784,6.0,20
785,4.0,20
786,150.0,19
787,4.0,20
788,31.0,20
789,65.0,20
790,24.0,20
791,8.0,20
792,17.0,20
793,10.0,20
794,11.0,20
795,29.0,20
796,4.0,20
797,32.0,20
798,19.0,20
799,7.0,20
800,41.0,20
801,4.0,20
802,32.0,20
803,4.0,20
804,5.0,20
805,1.0,20
806,3.0,20
807,74.0,20
808,8.0,20
809,21.0,20
810,16.0,20
811,15.0,20
812,2.0,20
813,1.0,20
814,32.0,20
815,14.0,20
816,5.0,20
817,7.0,20
818,23.0,20
819,1.0,20
820,17.0,20
821,3.0,20
822,5.0,20
823,3.0,20
824,50.0,20
825,13.0,20
826,4.0,20
827,3.0,20
828,158.0,19
829,2.0,20
830,13.0,20
831,2.0,20
832,8.0,20
833,22.0,20
834,1.0,20
835,6.0,20
836,2.0,20
837,10.0,20
838,12.0,20
839,1.0,20
840,8.0,20
841,2.0,20
842,7.0,20
843,1.0,20
844,9.0,20
845,9.0,20
846,5.0,20
847,4.0,20
848,7.0,20
849,20.0,20
850,3.0,20
851,39.0,20
852,35.0,20
853,9.0,20
854,21.0,20
855,7.0,20
856,10.0,20
857,13.0,20
858,4.0,20
859,14.0,20
860,5.0,20
861,7.0,20
862,17.0,20
863,22.0,20
864,33.0,20
865,18.0,20
866,6.0,20
867,3.0,20
868,5.0,20
869,18.0,20
870,4.0,20
871,16.0,20
872,4.0,20
873,3.0,20
874,49.0,20
875,11.0,20
876,6.0,20
877,5.0,20
878,21.0,20
879,8.0,20
880,8.0,20
881,3.0,20
882,3.0,20
883,5.0,20
884,9.0,20
885,13.0,20
886,2.0,20
887,67.0,20
888,19.0,20
889,3.0,20
890,54.0,20
891,3.0,20
892,34.0,20
893,15.0,20
894,18.0,20
895,20.0,20
896,34.0,20
897,35.0,20
898,4.0,20
899,17.0,20
900,34.0,20
901,70.0,20
902,31.0,20
903,23.0,20
904,10.0,20
905,6.0,20
906,1000.0,7
907,9.0,20
908,12.0,20
909,28.0,20
910,14.0,20
911,27.0,20
912,13.0,20
913,21.0,20
914,5.0,20
915,25.0,20
916,13.0,20
917,5.0,20
918,35.0,20
919,2.0,20
920,2.0,20
921,12.0,20
922,4.0,20
923,19.0,20
924,3.0,20
925,17.0,20
926,10.0,20
927,18.0,20
928,11.0,20
929,2.0,20
930,19.0,20
931,13.0,20
932,2.0,20
933,4.0,20
934,23.0,20
935,5.0,20
936,19.0,20
937,21.0,20
938,2.0,20
939,24.0,20
940,3.0,20
941,2.0,20
942,17.0,20
943,4.0,20
944,1.0,20
945,9.0,20
946,6.0,20
947,7.0,20
948,3.0,20
949,7.0,20
950,189.0,19
951,12.0,20
952,5.0,20
953,9.0,20
954,9.0,20
955,5.0,20
956,13.0,20
957,5.0,20
958,2.0,20
959,89.0,20
960,4.0,20
961,12.0,20
962,13.0,20
963,7.0,20
964,4.0,20
965,29.0,20
966,7.0,20
967,3.0,20
968,3.0,20
969,14.0,20
970,13.0,20
971,5.0,20
972,5.0,20
973,2.0,20
974,66.0,20
975,7.0,20
976,2.0,20
977,3.0,20
978,22.0,20
979,9.0,20
980,3.0,20
981,5.0,20
982,62.0,20
983,8.0,20
984,9.0,20
985,3.0,20
986,9.0,20
987,44.0,20
988,8.0,20
989,35.0,20
990,20.0,20
991,8.0,20
992,4.0,20
993,34.0,20
994,59.0,20
995,1.0,20
996,14.0,20
997,11.0,20
998,2.0,20
999,43.0,20
1000,17.0,20
1001,3.0,20
1002,3.0,20
1003,25.0,20
1004,4.0,20
1005,45.0,20
1006,6.0,20
1007,10.0,20
1008,9.0,20
1009,11.0,20
1010,3.0,20
1011,1.0,20
1012,15.0,20
1013,5.0,20
1014,7.0,20
1015,5.0,20
1016,39.0,20
1017,4.0,20
1018,3.0,20
1019,4.0,20
1020,4.0,20
1021,8.0,20
1022,12.0,20
1023,4.0,20
1024,2.0,20
1025,15.0,20
1026,11.0,20
1027,6.0,20
1028,10.0,20
1029,14.0,20
1030,20.0,20
1031,8.0,20
1032,8.0,20
1033,2.0,20
1034,2.0,20
1035,4.0,20
1036,5.0,20
1037,12.0,20
1038,18.0,20
1039,25.0,20
1040,6.0,20
1041,19.0,20
1042,49.0,20
1043,24.0,20
1044,16.0,20
1045,1.0,20
1046,4.0,20
1047,26.0,20
1048,1.0,20
1049,16.0,20
1050,15.0,20
1051,38.0,20
1052,6.0,20
1053,84.0,20
1054,6.0,20
1055,10.0,20
1056,20.0,20
1057,13.0,20
1058,1.0,20
1059,56.0,20
1060,26.0,20
1061,1.0,20
1062,7.0,20
1063,2.0,20
1064,23.0,20
1065,8.0,20
1066,12.0,20
1067,20.0,20
1068,2.0,20
1069,5.0,20
1070,8.0,20
1071,2.0,20
1072,90.0,20
1073,2.0,20
1074,3.0,20
1075,12.0,20
1076,15.0,20
1077,53.0,20
1078,66.0,20
1079,9.0,20
1080,8.0,20
1081,10.0,20
1082,1.0,20
1083,2.0,20
1084,38.0,20
1085,3.0,20
1086,3.0,20
1087,5.0,20
1088,5.0,20
1089,21.0,20
1090,26.0,20
1091,3.0,20
1092,20.0,20
1093,11.0,20
1094,42.0,20
1095,11.0,20
1096,19.0,20
1097,13.0,20
1098,48.0,20
1099,3.0,20
1100,6.0,20
1101,2.0,20
1102,2.0,20
1103,3.0,20
1104,9.0,20
1105,5.0,20
1106,33.0,20
1107,13.0,20
1108,17.0,20
1109,11.0,20
1110,9.0,20
1111,28.0,20
1112,8.0,20
1113,12.0,20
1114,4.0,20
1115,14.0,20
1116,10.0,20
1117,7.0,20
1118,3.0,20
1119,17.0,20
1120,2.0,20
1121,5.0,20
1122,33.0,20
1123,142.0,20
1124,3.0,20
1125,20.0,20
1126,28.0,20
1127,11.0,20
1128,3.0,20
1129,18.0,20
1130,38.0,20
1131,14.0,20
1132,7.0,20
1133,43.0,20
1134,3.0,20
1135,2.0,20
1136,9.0,20
1137,6.0,20
1138,5.0,20
1139,33.0,20
1140,17.0,20
1141,1.0,20
1142,4.0,20
1143,2.0,20
1144,3.0,20
1145,1.0,20
1146,33.0,20
1147,14.0,20
1148,3.0,20
1149,3.0,20
1150,5.0,20
1151,27.0,20
1152,10.0,20
1153,10.0,20
1154,38.0,20
1155,11.0,20
1156,5.0,20
1157,66.0,20
1158,16.0,20
1159,2.0,20
1160,38.0,20
1161,5.0,20
1162,3.0,20
1163,2.0,20
1164,11.0,20
1165,5.0,20
1166,14.0,20
1167,6.0,20
1168,11.0,20
1169,6.0,20
1170,36.0,20
1171,6.0,20
1172,10.0,20
1173,28.0,20
1174,1.0,20
1175,18.0,20
1176,25.0,20
1177,88.0,20
1178,14.0,20
1179,39.0,20
1180,18.0,20
1181,11.0,20
1182,7.0,20
1183,4.0,20
1184,5.0,20
1185,10.0,20
1186,7.0,20
1187,11.0,20
1188,4.0,20
1189,10.0,20
1190,108.0,20
1191,13.0,20
1192,18.0,20
1193,17.0,20
1194,4.0,20
1195,47.0,20
1196,44.0,20
1197,41.0,20
1198,26.0,20
1199,11.0,20
1200,76.0,20
1201,2.0,20
1202,98.0,20
1203,20.0,20
1204,9.0,20
1205,5.0,20
1206,51.0,20
1207,28.0,20
1208,70.0,20
1209,125.0,20
1210,47.0,20
1211,24.0,20
1212,26.0,20
1213,4.0,20
1214,2.0,20
1215,11.0,20
1216,32.0,20
1217,5.0,20
1218,32.0,20
1219,14.0,20
1220,5.0,20
1221,14.0,20
1222,6.0,20
1223,32.0,20
1224,14.0,20
1225,6.0,20
1226,3.0,20
1227,4.0,20
1228,20.0,20
1229,1.0,20
1230,3.0,20
1231,19.0,20
1232,10.0,20
1233,10.0,20
1234,36.0,20
1235,14.0,20
1236,3.0,20
1237,16.0,20
1238,210.0,19
1239,5.0,20
1240,1.0,20
1241,10.0,20
1242,5.0,20
1243,18.0,20
1244,19.0,20
1245,14.0,20
1246,10.0,20
1247,6.0,20
1248,8.0,20
1249,9.0,20
1250,29.0,20
1251,3.0,20
1252,8.0,20
1253,29.0,20
1254,70.0,20
1255,2.0,20
1256,5.0,20
1257,2.0,20
1258,62.0,20
1259,6.0,20
1260,11.0,20
1261,22.0,20
1262,13.0,20
1263,1.0,20
1264,33.0,20
1265,8.0,20
1266,1.0,20
1267,6.0,20
1268,7.0,20
1269,11.0,20
1270,2.0,20
1271,5.0,20
1272,2.0,20
1273,11.0,20
1274,1.0,20
1275,9.0,20
1276,67.0,20
1277,11.0,20
1278,92.0,20
1279,10.0,20
1280,39.0,20
1281,15.0,20
1282,17.0,20
1283,31.0,20
1284,2.0,20
1285,9.0,20
1286,20.0,20
1287,20.0,20
1288,89.0,20
1289,25.0,20
1290,3.0,20
1291,6.0,20
1292,17.0,20
1293,82.0,20
1294,3.0,20
1295,5.0,20
1296,112.0,20
1297,57.0,20
1298,52.0,20
1299,1.0,20
1300,8.0,20
1301,19.0,20
1302,11.0,20
1303,2.0,20
1304,41.0,20
1305,26.0,20
1306,18.0,20
1307,23.0,20
1308,11.0,20
1309,15.0,20
1310,23.0,20
1311,41.0,20
1312,9.0,20
1313,26.0,20
1314,2.0,20
1315,3.0,20
1316,17.0,20
1317,19.0,20
1318,4.0,20
1319,6.0,20
1320,3.0,20
1321,3.0,20
1322,12.0,20
1323,4.0,20
1324,9.0,20
1325,16.0,20
1326,2.0,20
1327,42.0,20
1328,215.0,19
1329,8.0,20
1330,12.0,20
1331,60.0,20
1332,40.0,20
1333,7.0,20
1334,18.0,20
1335,8.0,20
1336,14.0,20
1337,7.0,20
1338,5.0,20
1339,66.0,20
1340,6.0,20
1341,10.0,20
1342,9.0,20
1343,13.0,20
1344,12.0,20
1345,65.0,20
1346,5.0,20
1347,1.0,20
1348,10.0,20
1349,12.0,20
1350,197.0,19
1351,1.0,20
1352,9.0,20
1353,7.0,20
1354,41.0,20
1355,11.0,20
1356,19.0,20
1357,3.0,20
1358,4.0,20
1359,36.0,20
1360,8.0,20
1361,28.0,20
1362,1.0,20
1363,10.0,20
1364,2.0,20
1365,10.0,20
1366,30.0,20
1367,19.0,20
1368,3.0,20
1369,13.0,20
1370,15.0,20
1371,39.0,20
1372,20.0,20
1373,2.0,20
1374,751.0,8
1375,3.0,20
1376,16.0,20
1377,6.0,20
1378,62.0,20
1379,3.0,20
1380,11.0,20
1381,3.0,20
1382,10.0,20
1383,3.0,20
1384,10.0,20
1385,43.0,20
1386,45.0,20
1387,3.0,20
1388,17.0,20
1389,3.0,20
1390,9.0,20
1391,36.0,20
1392,10.0,20
1393,2.0,20
1394,24.0,20
1395,17.0,20
1396,40.0,20
1397,16.0,20
1398,11.0,20
1399,6.0,20
1400,30.0,20
1401,1.0,20
1402,1.0,20
1403,1.0,20
1404,61.0,20
1405,22.0,20
1406,9.0,20
1407,21.0,20
1408,15.0,20
1409,14.0,20
1410,8.0,20
1411,11.0,20
1412,101.0,20
1413,2.0,20
1414,40.0,20
1415,19.0,20
1416,13.0,20
1417,14.0,20
1418,27.0,20
1419,13.0,20
1420,2.0,20
1421,155.0,19
1422,8.0,20
1423,1.0,20
1424,16.0,20
1425,11.0,20
1426,17.0,20
1427,3.0,20
1428,6.0,20
1429,24.0,20
1430,42.0,20
1431,5.0,20
1432,14.0,20
1433,4.0,20
1434,41.0,20
1435,7.0,20
1436,6.0,20
1437,12.0,20
1438,86.0,20
1439,3.0,20
1440,12.0,20
1441,9.0,20
1442,10.0,20
1443,9.0,20
1444,66.0,20
1445,14.0,20
1446,36.0,20
1447,15.0,20
1448,3.0,20
1449,30.0,20
1450,82.0,20
1451,4.0,20
1452,33.0,20
1453,19.0,20
1454,95.0,20
1455,75.0,20
1456,3.0,20
1457,62.0,20
1458,8.0,20
1459,9.0,20
1460,17.0,20
1461,13.0,20
1462,55.0,20
1463,5.0,20
1464,8.0,20
1465,3.0,20
1466,1.0,20
1467,14.0,20
1468,19.0,20
1469,13.0,20
1470,3.0,20
1471,31.0,20
1472,31.0,20
1473,19.0,20
1474,41.0,20
1475,3.0,20
1476,9.0,20
1477,5.0,20
1478,12.0,20
1479,9.0,20
1480,29.0,20
1481,6.0,20
1482,16.0,20
1483,22.0,20
1484,6.0,20
1485,15.0,20
1486,14.0,20
1487,2.0,20
1488,3.0,20
1489,12.0,20
1490,18.0,20
1491,20.0,20
1492,11.0,20
1493,53.0,20
1494,22.0,20
1495,4.0,20
1496,8.0,20
1497,1.0,20
1498,13.0,20
1499,46.0,20
1500,33.0,20
1501,2.0,20
1502,15.0,20
1503,188.0,19
1504,3.0,20
1505,30.0,20
1506,14.0,20
1507,11.0,20
1508,11.0,20
1509,11.0,20
1510,7.0,20
1511,16.0,20
1512,12.0,20
1513,6.0,20
1514,17.0,20
1515,3.0,20
1516,9.0,20
1517,1.0,20
1518,4.0,20
1519,6.0,20
1520,5.0,20
1521,8.0,20
1522,10.0,20
1523,4.0,20
1524,14.0,20
1525,32.0,20
1526,1.0,20
1527,101.0,20
1528,25.0,20
1529,19.0,20
1530,23.0,20
1531,17.0,20
1532,2.0,20
1533,7.0,20
1534,4.0,20
1535,5.0,20
1536,5.0,20
1537,9.0,20
1538,5.0,20
1539,10.0,20
1540,1.0,20
1541,4.0,20
1542,7.0,20
1543,12.0,20
1544,7.0,20
1545,3.0,20
1546,5.0,20
1547,44.0,20
1548,4.0,20
1549,17.0,20
1550,51.0,20
1551,5.0,20
1552,9.0,20
1553,5.0,20
1554,9.0,20
1555,6.0,20
1556,8.0,20
1557,77.0,20
1558,25.0,20
1559,2.0,20
1560,15.0,20
1561,3.0,20
1562,3.0,20
1563,9.0,20
1564,9.0,20
1565,16.0,20
1566,7.0,20
1567,11.0,20
1568,6.0,20
1569,20.0,20
1570,12.0,20
1571,18.0,20
1572,12.0,20
1573,8.0,20
1574,3.0,20
1575,4.0,20
1576,2.0,20
1577,2.0,20
1578,3.0,20
1579,17.0,20
1580,1.0,20
1581,12.0,20
1582,8.0,20
1583,2.0,20
1584,7.0,20
1585,54.0,20
1586,39.0,20
1587,14.0,20
1588,28.0,20
1589,9.0,20
1590,2.0,20
1591,5.0,20
1592,5.0,20
1593,23.0,20
1594,17.0,20
1595,14.0,20
1596,57.0,20
1597,16.0,20
1598,46.0,20
1599,14.0,20
1600,4.0,20
1601,12.0,20
1602,8.0,20
1603,3.0,20
1604,10.0,20
1605,11.0,20
1606,2.0,20
1607,114.0,20
1608,32.0,20
1609,12.0,20
1610,28.0,20
1611,5.0,20
1612,10.0,20
1613,9.0,20
1614,7.0,20
1615,4.0,20
1616,49.0,20
1617,3.0,20
1618,2.0,20
1619,11.0,20
1620,3.0,20
1621,17.0,20
1622,16.0,20
1623,65.0,20
1624,55.0,20
1625,3.0,20
1626,5.0,20
1627,26.0,20
1628,6.0,20
1629,12.0,20
1630,2.0,20
1631,1.0,20
1632,4.0,20
1633,10.0,20
1634,25.0,20
1635,23.0,20
1636,12.0,20
1637,8.0,20
1638,7.0,20
1639,13.0,20
1640,2.0,20
1641,7.0,20
1642,22.0,20
1643,5.0,20
1644,1.0,20
1645,9.0,20
1646,4.0,20
1647,48.0,20
1648,24.0,20
1649,2.0,20
1650,19.0,20
1651,64.0,20
1652,14.0,20
1653,15.0,20
1654,12.0,20
1655,51.0,20
1656,21.0,20
1657,31.0,20
1658,15.0,20
1659,8.0,20
1660,4.0,20
1661,4.0,20
